date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Jan 10-12, 2020",SCM,OK,2020 Swim Tulsa New Years Invitational,20200112STNYIS,https://www.usms.org/comp/meets/meet.php?MeetID=20200112STNYIS,910e044e-4822-4483-8591-497772eb9c65
"Jan 5, 2020",SCY,WI,2020 Wisconsin Masters SCY at Pabst Farms YMCA,20200105PABSTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200105PABSTY,e72ff59c-1c7d-40fc-8062-991a969d52ab
"Jan 5, 2020",SCY,IL,2019 Lattof YMCA Masters Meet,20200105LATY20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200105LATY20Y,98577510-8a78-4457-9027-50b5bca212fc
"Jan 4-5, 2020",SCY,MT,2020 MT GFST Rapids Snowflake,20200104snwflkY,https://www.usms.org/comp/meets/meet.php?MeetID=20200104snwflkY,b79ae077-836d-45fa-a913-356c8631ea43
"Jan 4, 2020",SCY,AM,The 2020 MLAC Masters New Year Challenge,20200104MLACSCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200104MLACSCY,44a18b34-38b1-4291-9674-f0cf6f2e7aff
"Dec 29, 2019",SCM,DV,2019 Bill Heebner Memorial Winter Freeze Masters Meet,20191229PAYlcS,https://www.usms.org/comp/meets/meet.php?MeetID=20191229PAYlcS,b96fe6ff-1cc9-43d2-90b7-94f2b68c8ac4
"Dec 19-22, 2019",SCY,OH,King Marlin Pro-Am Classic,20191222KMpramY,https://www.usms.org/comp/meets/meet.php?MeetID=20191222KMpramY,fb25ac09-c577-4571-9850-1efeeab819b2
"Dec 19-22, 2019",SCY,NT,King Marlin Swim Club Pro-Am Classic,20191222KMPACY,https://www.usms.org/comp/meets/meet.php?MeetID=20191222KMPACY,e7973d63-c6d7-4d97-97dc-5509a02d4e65
"Dec 15, 2019",SCY,IA,2019 Winter Iowa Senior Games Swim Meet,20191215DAVYMCY,https://www.usms.org/comp/meets/meet.php?MeetID=20191215DAVYMCY,9d6b9e4f-7131-4907-9b30-bba7907f235d
"Dec 15, 2019",SCM,MD,Frostburg State University Masters Winter SCM Classic,20191215FSUS,https://www.usms.org/comp/meets/meet.php?MeetID=20191215FSUS,ee44b14a-5e86-4764-9d54-5358084dfcb4
